Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
1,Warmup,1,0.6607,0.6587,0.6376,0.6364,0.6389,0.6478,0.7066
1,Warmup,2,0.6576,0.6562,0.6323,0.9646,0.2667,0.7332,0.7143
1,Warmup,3,0.6547,0.6534,0.6693,0.9091,0.4056,0.7423,0.7315
1,Warmup,4,0.6517,0.6501,0.6799,0.8737,0.4667,0.7409,0.7383
1,Warmup,5,0.6473,0.646,0.6905,0.8131,0.5556,0.7335,0.7445
1,Joint,1,0.593,0.6031,0.7407,0.8081,0.6667,0.7656,0.7887
1,Joint,2,0.4922,0.4956,0.7302,0.7778,0.6778,0.7512,0.8003
1,Joint,3,0.4379,0.4847,0.7619,0.899,0.6111,0.7982,0.8117
1,Joint,4,0.4172,0.4298,0.754,0.8131,0.6889,0.7759,0.8308
1,Joint,5,0.3808,0.4256,0.7619,0.8586,0.6556,0.7907,0.8375
1,Joint,6,0.3617,0.4263,0.7275,0.7677,0.6833,0.7469,0.839
1,Joint,7,0.3464,0.4255,0.7302,0.7071,0.7556,0.733,0.8445
1,Joint,8,0.324,0.4215,0.7381,0.7677,0.7056,0.7543,0.8483
1,Joint,9,0.299,0.4808,0.7566,0.8131,0.6944,0.7778,0.8566
1,Joint,10,0.2763,0.4403,0.7566,0.7424,0.7722,0.7617,0.8531
1,Joint,11,0.2716,0.4803,0.7513,0.7929,0.7056,0.7696,0.8497
1,Joint,12,0.2506,0.4921,0.746,0.7121,0.7833,0.746,0.8598
1,Joint,13,0.239,0.471,0.7698,0.7576,0.7833,0.7752,0.8668
1,Joint,14,0.2382,0.5935,0.7751,0.8737,0.6667,0.8028,0.8625
1,Joint,15,0.2275,0.5125,0.7407,0.702,0.7833,0.7394,0.8611
1,Joint,16,0.1911,0.5349,0.754,0.7273,0.7833,0.7559,0.8655
1,Joint,17,0.1777,0.5593,0.746,0.702,0.7944,0.7433,0.8648
1,Joint,18,0.1468,0.6201,0.7407,0.7071,0.7778,0.7407,0.858
1,Joint,19,0.1268,0.7265,0.7593,0.8283,0.6833,0.7828,0.8566
1,Joint,20,0.126,0.912,0.746,0.7879,0.7,0.7647,0.8485
1,Joint,21,0.1277,0.8495,0.7249,0.697,0.7556,0.7263,0.8451
1,Joint,22,0.1268,0.7989,0.7646,0.7677,0.7611,0.7735,0.8434
1,Joint,23,0.1116,0.8187,0.7513,0.7424,0.7611,0.7577,0.8494
1,Joint,24,0.1354,0.9061,0.7222,0.6364,0.8167,0.7059,0.8488
1,Joint,25,0.1285,1.1149,0.7646,0.8434,0.6778,0.7896,0.848
1,Joint,26,0.1358,0.812,0.7698,0.8283,0.7056,0.7904,0.8574
1,Joint,27,0.1031,0.9176,0.7751,0.8788,0.6611,0.8037,0.8515
1,Joint,28,0.1079,0.8061,0.7831,0.8081,0.7556,0.796,0.8699
1,Joint,29,0.0804,0.7382,0.7937,0.798,0.7889,0.802,0.8681
1,Joint,30,0.0554,0.9878,0.7698,0.8384,0.6944,0.7924,0.8605
2,Warmup,1,0.6607,0.6596,0.5305,1.0,0.0167,0.69,0.6798
2,Warmup,2,0.6575,0.6571,0.5836,0.9492,0.1833,0.7043,0.6953
2,Warmup,3,0.6549,0.654,0.6207,0.9036,0.3111,0.7134,0.6973
2,Warmup,4,0.6502,0.6502,0.6393,0.8528,0.4056,0.7119,0.7034
2,Warmup,5,0.6466,0.6455,0.6578,0.7513,0.5556,0.6965,0.714
2,Joint,1,0.5996,0.5641,0.7162,0.797,0.6278,0.7458,0.7875
2,Joint,2,0.4935,0.5138,0.7188,0.8325,0.5944,0.7558,0.7993
2,Joint,3,0.4226,0.4984,0.7427,0.8985,0.5722,0.7849,0.7954
2,Joint,4,0.3984,0.5168,0.748,0.9695,0.5056,0.8008,0.8038
2,Joint,5,0.3708,0.4697,0.7374,0.9239,0.5333,0.7862,0.8181
2,Joint,6,0.3535,0.4645,0.7294,0.8832,0.5611,0.7733,0.8305
2,Joint,7,0.3258,0.4453,0.7507,0.8223,0.6722,0.7751,0.8431
2,Joint,8,0.3074,0.4327,0.7613,0.8122,0.7056,0.7805,0.851
2,Joint,9,0.2968,0.4681,0.7454,0.8274,0.6556,0.7725,0.8307
2,Joint,10,0.2743,0.467,0.7613,0.7259,0.8,0.7606,0.8499
2,Joint,11,0.2489,0.4721,0.7454,0.8122,0.6722,0.7692,0.8545
