Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
1,Warmup,1,0.7302,0.7112,0.5152,0.0,1.0,0.0,0.6075
1,Warmup,2,0.6933,0.7107,0.5505,0.1458,0.9314,0.2393,0.6109
1,Warmup,3,0.6767,0.7101,0.596,0.3958,0.7843,0.4872,0.6007
1,Warmup,4,0.6639,0.7094,0.5859,0.6146,0.5588,0.59,0.6003
1,Warmup,5,0.6653,0.7079,0.5808,0.6562,0.5098,0.6029,0.6022
1,Joint,1,0.6705,0.6978,0.601,0.8021,0.4118,0.6609,0.6663
1,Joint,2,0.6177,0.6945,0.601,0.7917,0.4216,0.658,0.6417
1,Joint,3,0.5832,0.6837,0.596,0.6562,0.5392,0.6117,0.6489
1,Joint,4,0.5466,0.6907,0.5909,0.6562,0.5294,0.6087,0.6167
1,Joint,5,0.5012,0.6931,0.5808,0.6667,0.5,0.6066,0.6251
1,Joint,6,0.4717,0.732,0.5556,0.6875,0.4314,0.6,0.6089
1,Joint,7,0.4132,0.7461,0.5556,0.7292,0.3922,0.614,0.6075
1,Joint,8,0.3642,0.7707,0.5758,0.5833,0.5686,0.5714,0.6183
1,Joint,9,0.3367,0.8633,0.5556,0.625,0.4902,0.5769,0.5909
1,Joint,10,0.2885,0.8992,0.5657,0.6042,0.5294,0.5743,0.5836
1,Joint,11,0.278,1.0354,0.5303,0.5,0.5588,0.5079,0.5595
1,Joint,12,0.264,1.1493,0.5808,0.6458,0.5196,0.599,0.6026
1,Joint,13,0.2364,1.208,0.5455,0.5312,0.5588,0.5312,0.5581
1,Joint,14,0.1914,1.2279,0.5556,0.6771,0.4412,0.5963,0.5787
1,Joint,15,0.1758,1.1864,0.5808,0.6771,0.4902,0.6103,0.6184
1,Joint,16,0.1897,1.3287,0.5354,0.625,0.451,0.566,0.5458
1,Joint,17,0.1739,1.3772,0.5354,0.5521,0.5196,0.5354,0.5894
1,Joint,18,0.143,1.5779,0.5606,0.5417,0.5784,0.5445,0.5679
1,Joint,19,0.1254,1.419,0.5808,0.5729,0.5882,0.5699,0.5872
1,Joint,20,0.1142,1.3817,0.5556,0.6458,0.4706,0.5849,0.5892
1,Joint,21,0.0896,1.4993,0.5707,0.6667,0.4804,0.6009,0.592
1,Joint,22,0.078,1.6316,0.5404,0.5521,0.5294,0.5381,0.5576
1,Joint,23,0.067,1.6739,0.5202,0.4896,0.549,0.4974,0.5603
1,Joint,24,0.0667,1.7723,0.5909,0.5729,0.6078,0.5759,0.5723
1,Joint,25,0.0599,1.7758,0.5758,0.6562,0.5,0.6,0.5982
1,Joint,26,0.0594,1.7251,0.5909,0.7396,0.451,0.6368,0.599
1,Joint,27,0.0595,1.7239,0.5455,0.625,0.4706,0.5714,0.5823
1,Joint,28,0.0523,1.9332,0.596,0.5938,0.598,0.5876,0.5921
1,Joint,29,0.0576,2.0171,0.5606,0.4583,0.6569,0.5029,0.5946
1,Joint,30,0.0667,1.7217,0.5707,0.5417,0.598,0.5503,0.6168
2,Warmup,1,0.72,0.7106,0.533,0.0625,0.9802,0.1154,0.6188
2,Warmup,2,0.6977,0.7099,0.5533,0.2917,0.802,0.3889,0.6118
