Experiment,ModelVariant,Fold,Phase,Epoch,Train_Loss,Val_Loss,Beat_Val_Acc,Beat_Val_Sens,Beat_Val_Spec,Beat_Val_F1,Beat_Val_AUC,Patient_Val_Acc,Patient_Val_Sens,Patient_Val_Spec,Patient_Val_F1,Patient_Val_AUC
A,hybrid,1,Warmup,1,0.0958,0.0886,0.5354,0.1684,0.8738,0.2581,0.6468,0.5354,0.1684,0.8738,0.2581,0.6468
A,hybrid,1,Warmup,2,0.0844,0.0911,0.601,0.3789,0.8058,0.4768,0.6447,0.601,0.3789,0.8058,0.4768,0.6447
A,hybrid,1,Warmup,3,0.0858,0.1034,0.5707,0.5474,0.5922,0.5503,0.606,0.5707,0.5474,0.5922,0.5503,0.606
A,hybrid,1,Warmup,4,0.0857,0.1043,0.5152,0.5053,0.5243,0.5,0.5674,0.5152,0.5053,0.5243,0.5,0.5674
A,hybrid,1,Warmup,5,0.0777,0.1204,0.5657,0.6842,0.4563,0.6019,0.589,0.5657,0.6842,0.4563,0.6019,0.589
A,hybrid,1,Joint,1,0.0796,0.104,0.596,0.5474,0.6408,0.5652,0.6272,0.596,0.5474,0.6408,0.5652,0.6272
A,hybrid,1,Joint,2,0.0793,0.1039,0.5859,0.5368,0.6311,0.5543,0.6364,0.5859,0.5368,0.6311,0.5543,0.6364
A,hybrid,1,Joint,3,0.077,0.1158,0.596,0.6105,0.5825,0.5918,0.6632,0.596,0.6105,0.5825,0.5918,0.6632
A,hybrid,1,Joint,4,0.0762,0.0859,0.6162,0.6,0.6311,0.6,0.6973,0.6162,0.6,0.6311,0.6,0.6973
A,hybrid,1,Joint,5,0.0773,0.0811,0.6212,0.6526,0.5922,0.6231,0.7131,0.6212,0.6526,0.5922,0.6231,0.7131
A,hybrid,1,Joint,6,0.0722,0.0841,0.6263,0.6737,0.5825,0.6337,0.7033,0.6263,0.6737,0.5825,0.6337,0.7033
A,hybrid,1,Joint,7,0.0814,0.087,0.6263,0.6632,0.5922,0.63,0.6957,0.6263,0.6632,0.5922,0.63,0.6957
A,hybrid,1,Joint,8,0.077,0.088,0.6364,0.6526,0.6214,0.6327,0.6905,0.6364,0.6526,0.6214,0.6327,0.6905
A,hybrid,1,Joint,9,0.0733,0.095,0.6616,0.6632,0.6602,0.6528,0.6872,0.6616,0.6632,0.6602,0.6528,0.6872
A,hybrid,1,Joint,10,0.0768,0.0924,0.6364,0.6737,0.6019,0.64,0.6892,0.6364,0.6737,0.6019,0.64,0.6892
A,hybrid,2,Warmup,1,0.1002,0.0959,0.5533,0.1383,0.932,0.2281,0.6926,0.5533,0.1383,0.932,0.2281,0.6926
A,hybrid,2,Warmup,2,0.0932,0.0942,0.599,0.5,0.6893,0.5434,0.649,0.599,0.5,0.6893,0.5434,0.649
A,hybrid,2,Warmup,3,0.081,0.0868,0.6396,0.5,0.767,0.5697,0.6964,0.6396,0.5,0.767,0.5697,0.6964
A,hybrid,2,Warmup,4,0.0814,0.0811,0.6853,0.5745,0.7864,0.6353,0.7262,0.6853,0.5745,0.7864,0.6353,0.7262
A,hybrid,2,Warmup,5,0.0815,0.0815,0.6244,0.5426,0.699,0.5795,0.7046,0.6244,0.5426,0.699,0.5795,0.7046
A,hybrid,2,Joint,1,0.0808,0.0807,0.6701,0.5213,0.8058,0.6012,0.733,0.6701,0.5213,0.8058,0.6012,0.733
A,hybrid,2,Joint,2,0.0772,0.0795,0.6701,0.617,0.7184,0.6409,0.7289,0.6701,0.617,0.7184,0.6409,0.7289
A,hybrid,2,Joint,3,0.0747,0.0804,0.6091,0.6277,0.5922,0.6051,0.7131,0.6091,0.6277,0.5922,0.6051,0.7131
A,hybrid,2,Joint,4,0.0788,0.0799,0.6244,0.617,0.6311,0.6105,0.7218,0.6244,0.617,0.6311,0.6105,0.7218
A,hybrid,2,Joint,5,0.0741,0.0814,0.6497,0.6489,0.6505,0.6387,0.7212,0.6497,0.6489,0.6505,0.6387,0.7212
A,hybrid,2,Joint,6,0.08,0.0815,0.6447,0.6489,0.6408,0.6354,0.7178,0.6447,0.6489,0.6408,0.6354,0.7178
A,hybrid,3,Warmup,1,0.1012,0.1093,0.5533,0.4149,0.6796,0.4699,0.5314,0.5533,0.4149,0.6796,0.4699,0.5314
A,hybrid,3,Warmup,2,0.087,0.0981,0.5787,0.5638,0.5922,0.5608,0.6019,0.5787,0.5638,0.5922,0.5608,0.6019
A,hybrid,3,Warmup,3,0.0839,0.1003,0.599,0.5745,0.6214,0.5775,0.6104,0.599,0.5745,0.6214,0.5775,0.6104
A,hybrid,3,Warmup,4,0.0733,0.0939,0.6244,0.6383,0.6117,0.6186,0.6545,0.6244,0.6383,0.6117,0.6186,0.6545
A,hybrid,3,Warmup,5,0.0718,0.0893,0.6193,0.6277,0.6117,0.6114,0.6766,0.6193,0.6277,0.6117,0.6114,0.6766
A,hybrid,3,Joint,1,0.0782,0.0914,0.6244,0.6489,0.6019,0.6224,0.6905,0.6244,0.6489,0.6019,0.6224,0.6905
A,hybrid,3,Joint,2,0.0773,0.0937,0.6548,0.5638,0.7379,0.6092,0.6824,0.6548,0.5638,0.7379,0.6092,0.6824
A,hybrid,3,Joint,3,0.0734,0.0897,0.6294,0.5426,0.7087,0.5829,0.6919,0.6294,0.5426,0.7087,0.5829,0.6919
