Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
1,Warmup,1,0.0562,0.0635,0.7593,0.899,0.6056,0.7964,0.8634
1,Warmup,2,0.0438,0.0547,0.7804,0.9444,0.6,0.8184,0.8769
1,Warmup,3,0.0432,0.0528,0.7857,0.9293,0.6278,0.8196,0.8799
1,Warmup,4,0.0425,0.0499,0.7989,0.9343,0.65,0.8296,0.8901
1,Warmup,5,0.0397,0.0479,0.7963,0.8889,0.6944,0.8205,0.8919
1,Joint,1,0.0559,0.0468,0.7831,0.8232,0.7389,0.799,0.8961
1,Joint,2,0.0662,0.0533,0.7963,0.7778,0.8167,0.8,0.8915
1,Joint,3,0.0548,0.0488,0.791,0.7778,0.8056,0.7959,0.8979
1,Joint,4,0.0573,0.0464,0.7989,0.8586,0.7333,0.8173,0.902
1,Joint,5,0.0464,0.0469,0.791,0.8384,0.7389,0.8078,0.8996
1,Joint,6,0.0592,0.0481,0.7989,0.8384,0.7556,0.8137,0.8966
1,Joint,7,0.0529,0.0491,0.8016,0.8434,0.7556,0.8166,0.8967
1,Joint,8,0.0616,0.0518,0.7672,0.7677,0.7667,0.7755,0.8919
1,Joint,9,0.0504,0.0501,0.7937,0.8636,0.7167,0.8143,0.8939
1,Joint,10,0.0488,0.0481,0.7884,0.8586,0.7111,0.8095,0.897
1,Joint,11,0.0511,0.0464,0.7989,0.8586,0.7333,0.8173,0.9014
1,Joint,12,0.0484,0.0471,0.8069,0.8586,0.75,0.8232,0.8996
1,Joint,13,0.0473,0.0477,0.7937,0.8586,0.7222,0.8134,0.8971
1,Joint,14,0.0509,0.0471,0.8016,0.8586,0.7389,0.8193,0.8966
1,Joint,15,0.0534,0.0496,0.791,0.8586,0.7167,0.8115,0.892
1,Joint,16,0.0601,0.054,0.7884,0.8737,0.6944,0.8122,0.8802
1,Joint,17,0.0501,0.0494,0.8016,0.8434,0.7556,0.8166,0.8927
1,Joint,18,0.0544,0.0482,0.7963,0.8535,0.7333,0.8145,0.8939
1,Joint,19,0.0532,0.0484,0.7937,0.8586,0.7222,0.8134,0.8948
1,Joint,20,0.0576,0.048,0.7989,0.8687,0.7222,0.819,0.897
1,Joint,21,0.0507,0.0489,0.8016,0.8535,0.7444,0.8184,0.897
1,Joint,22,0.0522,0.05,0.7989,0.8485,0.7444,0.8155,0.8907
