Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
1,Warmup,1,0.6256,0.5864,0.7249,0.8182,0.6222,0.757,0.7715
1,Warmup,2,0.5722,0.5646,0.7275,0.803,0.6444,0.7553,0.7735
1,Warmup,3,0.5491,0.555,0.7328,0.798,0.6611,0.7578,0.779
1,Warmup,4,0.5412,0.5491,0.7328,0.7727,0.6889,0.7518,0.7835
1,Warmup,5,0.5319,0.5475,0.7302,0.7727,0.6833,0.75,0.7794
1,Joint,1,0.5285,0.5429,0.7196,0.7475,0.6889,0.7363,0.7823
1,Joint,2,0.5192,0.536,0.7354,0.7374,0.7333,0.7449,0.7904
1,Joint,3,0.5083,0.5307,0.7381,0.7677,0.7056,0.7543,0.7966
1,Joint,4,0.4954,0.5267,0.7381,0.7828,0.6889,0.7579,0.8
1,Joint,5,0.4809,0.5204,0.7407,0.7626,0.7167,0.755,0.8021
1,Joint,6,0.4829,0.5169,0.746,0.7778,0.7111,0.7624,0.8048
1,Joint,7,0.4745,0.5179,0.7381,0.7778,0.6944,0.7568,0.8049
1,Joint,8,0.4528,0.5114,0.7487,0.7828,0.7111,0.7654,0.8089
1,Joint,9,0.4605,0.5094,0.746,0.7677,0.7222,0.76,0.8115
1,Joint,10,0.4484,0.5075,0.7381,0.7727,0.7,0.7556,0.8131
1,Joint,11,0.4429,0.5051,0.746,0.7828,0.7056,0.7635,0.8141
1,Joint,12,0.4316,0.5116,0.7328,0.7576,0.7056,0.7481,0.8103
1,Joint,13,0.4366,0.5085,0.7407,0.7677,0.7111,0.7562,0.8114
1,Joint,14,0.4249,0.5021,0.7434,0.7828,0.7,0.7617,0.8184
1,Joint,15,0.4126,0.5022,0.754,0.7828,0.7222,0.7692,0.8184
1,Joint,16,0.3967,0.5,0.746,0.7879,0.7,0.7647,0.8182
1,Joint,17,0.4098,0.5002,0.7354,0.7576,0.7111,0.75,0.8203
1,Joint,18,0.4046,0.5025,0.7354,0.7727,0.6944,0.7537,0.8171
1,Joint,19,0.3923,0.5037,0.7407,0.7677,0.7111,0.7562,0.8157
1,Joint,20,0.3921,0.4975,0.7487,0.7778,0.7167,0.7643,0.8219
1,Joint,21,0.3836,0.5056,0.7407,0.7727,0.7056,0.7574,0.8187
1,Joint,22,0.3668,0.4995,0.7381,0.7727,0.7,0.7556,0.8199
1,Joint,23,0.3711,0.4967,0.7381,0.7626,0.7111,0.7531,0.8217
1,Joint,24,0.3692,0.5012,0.7275,0.7677,0.6833,0.7469,0.8156
1,Joint,25,0.3621,0.5049,0.7354,0.7727,0.6944,0.7537,0.8168
1,Joint,26,0.3576,0.5131,0.7328,0.7677,0.6944,0.7506,0.8103
1,Joint,27,0.3325,0.5126,0.7434,0.7828,0.7,0.7617,0.8177
1,Joint,28,0.3351,0.5101,0.7381,0.7626,0.7111,0.7531,0.8205
1,Joint,29,0.3476,0.5065,0.746,0.7677,0.7222,0.76,0.8233
1,Joint,30,0.3246,0.5069,0.7407,0.7677,0.7111,0.7562,0.8207
2,Warmup,1,0.6221,0.5939,0.6578,0.6599,0.6556,0.6684,0.7243
2,Warmup,2,0.5649,0.5612,0.6631,0.731,0.5889,0.694,0.756
2,Warmup,3,0.5485,0.5501,0.687,0.7513,0.6167,0.715,0.7696
2,Warmup,4,0.5358,0.5407,0.6897,0.7716,0.6,0.7221,0.7814
2,Warmup,5,0.5285,0.5449,0.7082,0.7868,0.6222,0.7381,0.7751
2,Joint,1,0.5197,0.5365,0.7029,0.7716,0.6278,0.7308,0.7818
2,Joint,2,0.5039,0.5331,0.7082,0.7766,0.6333,0.7356,0.7885
2,Joint,3,0.4947,0.5278,0.7188,0.7919,0.6389,0.7464,0.7948
2,Joint,4,0.4868,0.5261,0.7215,0.797,0.6389,0.7494,0.7951
2,Joint,5,0.4766,0.5254,0.7135,0.7919,0.6278,0.7429,0.7964
2,Joint,6,0.4765,0.5224,0.7162,0.797,0.6278,0.7458,0.7981
2,Joint,7,0.4709,0.5219,0.7241,0.8173,0.6222,0.7559,0.7993
2,Joint,8,0.4533,0.5188,0.7188,0.802,0.6278,0.7488,0.8027
2,Joint,9,0.4442,0.5204,0.7162,0.8071,0.6167,0.7482,0.8025
2,Joint,10,0.4522,0.5193,0.7215,0.8071,0.6278,0.7518,0.8056
2,Joint,11,0.4375,0.5208,0.7162,0.8173,0.6056,0.7506,0.8034
2,Joint,12,0.4249,0.5253,0.7268,0.8426,0.6,0.7632,0.8016
2,Joint,13,0.4304,0.526,0.7215,0.8376,0.5944,0.7586,0.7969
2,Joint,14,0.3952,0.5248,0.7321,0.8325,0.6222,0.7646,0.7968
2,Joint,15,0.4073,0.523,0.7294,0.8223,0.6278,0.7606,0.7972
2,Joint,16,0.4197,0.5229,0.7374,0.8579,0.6056,0.7735,0.7986
2,Joint,17,0.3963,0.5182,0.7374,0.8426,0.6222,0.7703,0.8036
2,Joint,18,0.3894,0.5203,0.7268,0.8426,0.6,0.7632,0.7991
2,Joint,19,0.3821,0.5195,0.7294,0.8477,0.6,0.7661,0.8013
2,Joint,20,0.3873,0.524,0.7321,0.8579,0.5944,0.7699,0.8033
2,Joint,21,0.3686,0.5236,0.7347,0.8579,0.6,0.7717,0.8017
2,Joint,22,0.3715,0.5251,0.7454,0.8629,0.6167,0.7798,0.8021
2,Joint,23,0.3688,0.5235,0.7401,0.8579,0.6111,0.7752,0.8051
2,Joint,24,0.364,0.5253,0.7374,0.8477,0.6167,0.7714,0.8048
2,Joint,25,0.3454,0.5291,0.7427,0.8579,0.6167,0.777,0.8026
2,Joint,26,0.338,0.5323,0.7241,0.8223,0.6167,0.757,0.8011
2,Joint,27,0.3296,0.5326,0.7268,0.8325,0.6111,0.761,0.7984
2,Joint,28,0.329,0.5385,0.7454,0.8629,0.6167,0.7798,0.7952
2,Joint,29,0.3295,0.5365,0.7347,0.8274,0.6333,0.7653,0.7954
2,Joint,30,0.3217,0.5367,0.7347,0.8223,0.6389,0.7642,0.7942
3,Warmup,1,0.6269,0.5956,0.7003,0.6548,0.75,0.6954,0.7558
3,Warmup,2,0.5764,0.5681,0.687,0.7208,0.65,0.7065,0.7652
3,Warmup,3,0.5604,0.5569,0.679,0.7157,0.6389,0.6998,0.7668
3,Warmup,4,0.546,0.5546,0.6923,0.7411,0.6389,0.7157,0.7667
3,Warmup,5,0.5311,0.5496,0.6764,0.7259,0.6222,0.701,0.769
3,Joint,1,0.5241,0.5401,0.6737,0.6954,0.65,0.6902,0.7776
3,Joint,2,0.5147,0.5348,0.695,0.7259,0.6611,0.7132,0.7838
3,Joint,3,0.5047,0.5293,0.6897,0.736,0.6389,0.7125,0.7909
3,Joint,4,0.5031,0.5264,0.695,0.7513,0.6333,0.7202,0.7937
3,Joint,5,0.4841,0.5247,0.6976,0.7563,0.6333,0.7233,0.7975
3,Joint,6,0.4839,0.5185,0.7188,0.7665,0.6667,0.7402,0.8016
3,Joint,7,0.4702,0.5149,0.7162,0.7614,0.6667,0.7371,0.8024
3,Joint,8,0.4717,0.5156,0.7029,0.7614,0.6389,0.7282,0.8028
3,Joint,9,0.4591,0.5116,0.7109,0.7614,0.6556,0.7335,0.8043
3,Joint,10,0.4623,0.5076,0.7109,0.7614,0.6556,0.7335,0.8091
3,Joint,11,0.4528,0.5057,0.7135,0.7665,0.6556,0.7366,0.8106
3,Joint,12,0.4399,0.5071,0.7294,0.8071,0.6444,0.7571,0.8116
3,Joint,13,0.4334,0.5038,0.7109,0.7614,0.6556,0.7335,0.8129
3,Joint,14,0.4235,0.4988,0.7135,0.7614,0.6611,0.7353,0.8166
3,Joint,15,0.4126,0.4986,0.7241,0.7817,0.6611,0.7476,0.8189
3,Joint,16,0.4104,0.4992,0.7135,0.7868,0.6333,0.7416,0.8161
3,Joint,17,0.4012,0.4995,0.7215,0.7614,0.6778,0.7407,0.8151
3,Joint,18,0.3988,0.4978,0.7321,0.7817,0.6778,0.7531,0.8197
3,Joint,19,0.3954,0.4973,0.7241,0.7766,0.6667,0.7463,0.8194
3,Joint,20,0.3948,0.498,0.7347,0.8223,0.6389,0.7642,0.8218
3,Joint,21,0.3872,0.4954,0.7321,0.8173,0.6389,0.7612,0.8235
3,Joint,22,0.369,0.4987,0.7321,0.802,0.6556,0.7578,0.8216
3,Joint,23,0.3673,0.4992,0.7294,0.7766,0.6778,0.75,0.8228
3,Joint,24,0.3709,0.5013,0.7374,0.8376,0.6278,0.7692,0.8256
3,Joint,25,0.3671,0.4959,0.7321,0.7766,0.6833,0.7518,0.825
3,Joint,26,0.362,0.5017,0.748,0.8223,0.6667,0.7733,0.8239
3,Joint,27,0.3504,0.4972,0.7454,0.802,0.6833,0.767,0.8266
3,Joint,28,0.3494,0.4981,0.7401,0.8122,0.6611,0.7656,0.8296
3,Joint,29,0.3481,0.4998,0.7427,0.802,0.6778,0.7651,0.8268
3,Joint,30,0.3446,0.4939,0.7454,0.8071,0.6778,0.7681,0.8286
4,Warmup,1,0.6176,0.6022,0.6499,0.6548,0.6444,0.6615,0.7144
4,Warmup,2,0.5586,0.5793,0.679,0.7107,0.6444,0.6983,0.7305
4,Warmup,3,0.5462,0.5747,0.6897,0.6954,0.6833,0.7008,0.7353
4,Warmup,4,0.5284,0.5661,0.6844,0.6904,0.6778,0.6957,0.7431
4,Warmup,5,0.5144,0.556,0.7003,0.7259,0.6722,0.7168,0.7552
4,Joint,1,0.5175,0.5521,0.6923,0.7056,0.6778,0.7056,0.7588
4,Joint,2,0.4968,0.5516,0.6844,0.6802,0.6889,0.6925,0.7622
4,Joint,3,0.4986,0.5447,0.679,0.6853,0.6722,0.6905,0.7668
4,Joint,4,0.4879,0.5469,0.6844,0.7056,0.6611,0.7003,0.7635
4,Joint,5,0.473,0.5469,0.6817,0.7005,0.6611,0.697,0.7679
4,Joint,6,0.4715,0.5304,0.695,0.7208,0.6667,0.7118,0.7794
4,Joint,7,0.4557,0.5327,0.6897,0.7157,0.6611,0.7068,0.7805
4,Joint,8,0.4472,0.5355,0.6897,0.7005,0.6778,0.7023,0.7807
4,Joint,9,0.4404,0.5284,0.6897,0.7157,0.6611,0.7068,0.7851
4,Joint,10,0.4457,0.5254,0.6923,0.7208,0.6611,0.71,0.786
4,Joint,11,0.435,0.5261,0.7003,0.7259,0.6722,0.7168,0.7882
4,Joint,12,0.4325,0.5307,0.6976,0.7056,0.6889,0.7092,0.7874
4,Joint,13,0.4133,0.5277,0.7056,0.7513,0.6556,0.7273,0.7896
4,Joint,14,0.4127,0.5302,0.7109,0.7614,0.6556,0.7335,0.7889
4,Joint,15,0.4127,0.5302,0.7135,0.7462,0.6778,0.7313,0.7883
4,Joint,16,0.42,0.5288,0.7135,0.7513,0.6722,0.7327,0.7893
4,Joint,17,0.4064,0.53,0.7056,0.731,0.6778,0.7218,0.7932
4,Joint,18,0.3956,0.5354,0.7188,0.7513,0.6833,0.7363,0.7934
4,Joint,19,0.3951,0.53,0.7215,0.7868,0.65,0.747,0.7942
4,Joint,20,0.3809,0.5334,0.7215,0.7716,0.6667,0.7433,0.7954
4,Joint,21,0.379,0.5286,0.7294,0.7665,0.6889,0.7475,0.798
4,Joint,22,0.3744,0.5248,0.7241,0.7919,0.65,0.75,0.7997
4,Joint,23,0.3675,0.5334,0.7321,0.7716,0.6889,0.7506,0.7976
4,Joint,24,0.3497,0.5326,0.7401,0.7716,0.7056,0.7562,0.7994
4,Joint,25,0.3607,0.5331,0.7294,0.7817,0.6722,0.7512,0.7997
4,Joint,26,0.3379,0.5309,0.7268,0.7563,0.6944,0.7431,0.804
4,Joint,27,0.3491,0.5363,0.7268,0.8122,0.6333,0.7565,0.8008
4,Joint,28,0.3372,0.5358,0.7215,0.7766,0.6611,0.7445,0.8027
4,Joint,29,0.3386,0.5378,0.7268,0.7919,0.6556,0.7518,0.802
4,Joint,30,0.3361,0.5273,0.7241,0.7817,0.6611,0.7476,0.8066
5,Warmup,1,0.6234,0.5888,0.7082,0.7665,0.6444,0.733,0.7621
5,Warmup,2,0.567,0.5542,0.7135,0.7614,0.6611,0.7353,0.7695
5,Warmup,3,0.549,0.5497,0.7082,0.7614,0.65,0.7317,0.772
5,Warmup,4,0.5433,0.5496,0.7056,0.7614,0.6444,0.7299,0.7715
5,Warmup,5,0.5323,0.5449,0.7056,0.7208,0.6889,0.719,0.7755
5,Joint,1,0.5124,0.5396,0.7029,0.7107,0.6944,0.7143,0.7807
5,Joint,2,0.5097,0.5383,0.7241,0.736,0.7111,0.736,0.7793
