Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
1,Warmup,1,0.713,0.6974,0.5657,0.3542,0.7647,0.4416,0.6202
1,Warmup,2,0.6763,0.6876,0.601,0.5208,0.6765,0.5587,0.646
1,Warmup,3,0.6691,0.6821,0.6162,0.5625,0.6667,0.587,0.6337
1,Warmup,4,0.6458,0.6807,0.5859,0.5521,0.6176,0.5638,0.6263
1,Warmup,5,0.6421,0.6802,0.5556,0.5521,0.5588,0.5464,0.6125
1,Joint,1,0.6318,0.6843,0.5758,0.5833,0.5686,0.5714,0.6077
1,Joint,2,0.6173,0.6821,0.5606,0.5729,0.549,0.5584,0.6098
1,Joint,3,0.6113,0.6828,0.5657,0.5729,0.5588,0.5612,0.6045
1,Joint,4,0.5965,0.679,0.5707,0.5938,0.549,0.5729,0.6081
1,Joint,5,0.6018,0.6791,0.5758,0.5938,0.5588,0.5758,0.6052
1,Joint,6,0.5925,0.686,0.5657,0.5938,0.5392,0.57,0.6023
1,Joint,7,0.5956,0.6854,0.5606,0.5833,0.5392,0.5628,0.5974
1,Joint,8,0.5699,0.6871,0.5707,0.5729,0.5686,0.5641,0.6013
1,Joint,9,0.5676,0.6888,0.5707,0.5729,0.5686,0.5641,0.6033
1,Joint,10,0.5518,0.6882,0.5808,0.5625,0.598,0.5654,0.6062
1,Joint,11,0.5553,0.6823,0.601,0.5833,0.6176,0.5864,0.6072
1,Joint,12,0.5371,0.6848,0.5758,0.5729,0.5784,0.567,0.601
1,Joint,13,0.5332,0.6838,0.5657,0.5729,0.5588,0.5612,0.6017
1,Joint,14,0.521,0.6861,0.596,0.5938,0.598,0.5876,0.6026
1,Joint,15,0.5336,0.6845,0.6111,0.5833,0.6373,0.5926,0.6033
1,Joint,16,0.5191,0.6861,0.5859,0.5833,0.5882,0.5773,0.6096
1,Joint,17,0.502,0.687,0.6061,0.5938,0.6176,0.5938,0.6173
1,Joint,18,0.498,0.691,0.5909,0.5938,0.5882,0.5846,0.6129
1,Joint,19,0.4879,0.6962,0.5859,0.5833,0.5882,0.5773,0.6122
1,Joint,20,0.4787,0.7054,0.5758,0.5729,0.5784,0.567,0.6095
1,Joint,21,0.4896,0.713,0.5657,0.5729,0.5588,0.5612,0.6099
1,Joint,22,0.451,0.7106,0.601,0.5833,0.6176,0.5864,0.6113
1,Joint,23,0.4688,0.712,0.5808,0.5938,0.5686,0.5787,0.6087
1,Joint,24,0.4725,0.7098,0.5808,0.5833,0.5784,0.5744,0.6058
1,Joint,25,0.4511,0.7196,0.601,0.5833,0.6176,0.5864,0.6054
1,Joint,26,0.4484,0.7319,0.601,0.5938,0.6078,0.5907,0.6106
1,Joint,27,0.4248,0.7289,0.6061,0.6042,0.6078,0.5979,0.6152
1,Joint,28,0.4492,0.7351,0.5909,0.6042,0.5784,0.5888,0.6025
1,Joint,29,0.4335,0.7388,0.596,0.6042,0.5882,0.5918,0.6046
1,Joint,30,0.4257,0.7459,0.601,0.6146,0.5882,0.599,0.6118
2,Warmup,1,0.7112,0.7238,0.5736,0.7188,0.4356,0.6216,0.5966
2,Warmup,2,0.6796,0.7247,0.5838,0.6354,0.5347,0.598,0.62
2,Warmup,3,0.6574,0.7222,0.5787,0.6146,0.5446,0.5871,0.6148
2,Warmup,4,0.6513,0.7288,0.5635,0.5729,0.5545,0.5612,0.6015
2,Warmup,5,0.6279,0.7147,0.5939,0.6042,0.5842,0.5918,0.6031
2,Joint,1,0.6436,0.7083,0.5533,0.5625,0.5446,0.551,0.6049
2,Joint,2,0.6305,0.7055,0.5482,0.5521,0.5446,0.5436,0.6074
2,Joint,3,0.5991,0.6961,0.5533,0.5729,0.5347,0.5556,0.6194
2,Joint,4,0.6023,0.6905,0.5736,0.5833,0.5644,0.5714,0.6216
